product_id,product_name,category,quantity,per_cost,total_cost,threshold,supplier,status,last_updated,image_url
P0001,Keyboard 560,Accessories,162,2209,357858,49,Sony,In Stock,2023-06-24,https://images.unsplash.com/photo-1618384887929-16ec33fab9ef
P0002,Printer 284,Electronics,54,26081,1408374,27,Dell,In Stock,2023-01-11,https://images.unsplash.com/photo-1612815154858-60aa4c59eaa6
P0003,Tablet 942,Electronics,274,24635,6749990,42,HP,In Stock,2023-07-16,https://images.unsplash.com/photo-1510557880182-3d4d3cba35a5
P0004,Tablet 309,Electronics,258,31277,8069466,40,Lenovo,In Stock,2023-03-13,https://images.unsplash.com/photo-1510557880182-3d4d3cba35a5
P0005,Phone 164,Electronics,264,28090,7415760,31,Samsung,In Stock,2023-03-14,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0006,Smart Watch 366,Accessories,160,8984,1437440,33,Apple,In Stock,2023-06-28,https://images.unsplash.com/photo-1516574187841-cb9cc2ca948b
P0007,Smart Watch 693,Accessories,283,9908,2803964,18,Apple,In Stock,2023-08-14,https://images.unsplash.com/photo-1516574187841-cb9cc2ca948b
P0008,Keyboard 814,Accessories,132,2442,322344,14,Sony,In Stock,2023-12-23,https://images.unsplash.com/photo-1587825140708-dfaf72ae4b04
P0009,Phone 754,Electronics,222,22437,4981014,45,Sony,In Stock,2023-06-24,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0010,Phone 344,Electronics,175,18384,3217200,10,Dell,In Stock,2023-02-12,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0011,Headphones 936,Accessories,256,2258,578048,41,Boat,In Stock,2023-10-05,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0012,Laptop 968,Electronics,131,70840,9280040,39,Asus,In Stock,2023-10-22,https://images.unsplash.com/photo-1496181133206-80ce9b88a853
P0013,Laptop 232,Electronics,98,61180,5995640,14,Boat,In Stock,2023-03-19,https://images.unsplash.com/photo-1517336714731-489689fd1ca8
P0014,Monitor 987,Electronics,140,24190,3386600,14,Lenovo,In Stock,2023-07-14,https://images.unsplash.com/photo-1527443154391-507e9dc6c5cc
P0015,Tablet 202,Electronics,279,41457,11566503,41,Lenovo,In Stock,2023-01-18,https://images.unsplash.com/photo-1510557880182-3d4d3cba35a5
P0016,Tablet 401,Electronics,54,33363,1801602,49,Apple,In Stock,2023-01-29,https://images.unsplash.com/photo-1510557880182-3d4d3cba35a5
P0017,Tablet 976,Electronics,33,44409,1465497,12,Sony,In Stock,2023-06-25,https://images.unsplash.com/photo-1510557880182-3d4d3cba35a5
P0018,Monitor 806,Electronics,135,34039,4595265,19,Lenovo,In Stock,2023-05-12,https://images.unsplash.com/photo-1527443154391-507e9dc6c5cc
P0019,Mouse 462,Accessories,57,970,55290,38,Boat,In Stock,2023-12-29,https://images.unsplash.com/photo-1629429408209-1f912961dbd8
P0020,Phone 410,Electronics,136,12482,1697552,35,Apple,In Stock,2023-12-30,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0021,Laptop 636,Electronics,78,46967,3663426,31,HP,In Stock,2023-09-14,https://images.unsplash.com/photo-1496181133206-80ce9b88a853
P0022,Phone 266,Electronics,217,26709,5795853,14,Samsung,In Stock,2023-01-19,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0023,Phone 772,Electronics,45,19937,897165,10,Apple,In Stock,2023-10-21,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0024,Tablet 366,Electronics,248,41524,10297952,35,HP,In Stock,2023-02-21,https://images.unsplash.com/photo-1510557880182-3d4d3cba35a5
P0025,Laptop 689,Electronics,275,62365,17150375,26,HP,In Stock,2023-06-22,https://images.unsplash.com/photo-1496181133206-80ce9b88a853
P0026,Phone 969,Electronics,212,26002,5512424,20,Dell,In Stock,2023-02-05,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0027,Mouse 235,Accessories,162,1257,203634,50,Boat,In Stock,2023-10-09,https://images.unsplash.com/photo-1629429408209-1f912961dbd8
P0028,Printer 388,Electronics,44,24288,1068672,17,Boat,In Stock,2023-02-21,https://images.unsplash.com/photo-1612815154858-60aa4c59eaa6
P0029,Laptop 578,Electronics,211,55920,11799120,15,HP,In Stock,2023-12-27,https://images.unsplash.com/photo-1496181133206-80ce9b88a853
P0030,Power Bank 539,Accessories,179,2701,483479,44,Lenovo,In Stock,2023-07-21,https://images.unsplash.com/photo-1609592422031-5b17fbd5c5b1
P0031,Power Bank 865,Accessories,277,3515,973655,26,HP,In Stock,2023-07-22,https://images.unsplash.com/photo-1609592422031-5b17fbd5c5b1
P0032,Power Bank 323,Accessories,104,1646,171184,26,HP,In Stock,2023-01-03,https://images.unsplash.com/photo-1609592422031-5b17fbd5c5b1
P0033,Mouse 891,Accessories,123,709,87207,24,Sony,In Stock,2023-11-27,https://images.unsplash.com/photo-1629429408209-1f912961dbd8
P0034,Keyboard 626,Accessories,81,2410,195210,25,Boat,In Stock,2023-12-12,https://images.unsplash.com/photo-1587825140708-dfaf72ae4b04
P0035,Keyboard 517,Accessories,149,2118,315582,29,HP,In Stock,2023-02-03,https://images.unsplash.com/photo-1587825140708-dfaf72ae4b04
